displacement,true_force,predicted_force
0.30687,0.07225143,0.0757931
0.30689,0.063623935,0.06560996
0.3069,0.08958139,0.089747466
0.3069,0.08538157,0.10961604
0.30696997,0.08351247,0.099051125
0.307,0.089947894,0.09634228
0.307055,0.06937498,0.07039015
0.30710003,0.10483487,0.10495702
0.30710003,0.09248174,0.11006287
0.30730996,0.09695313,0.107572764
0.30739,0.087691784,0.09667343
0.3076,0.08526319,0.09342916
0.30770996,0.121748425,0.12849593
0.309005,0.076052554,0.080165036
0.34677503,0.10043077,0.110324875
0.34695002,0.08710025,0.100591324
0.34719998,0.06733073,0.060465097
0.34719998,0.08782749,0.09700674
0.34722498,0.09501246,0.116784014
0.34732503,0.09397087,0.106758215
0.34739998,0.09691127,0.10208554
0.34761,0.08615483,0.08995055
0.34778,0.088153005,0.0968556
0.34787497,0.106607944,0.11448748
0.34801504,0.08047195,0.082494706
0.34805998,0.061974466,0.057564512
0.34812,0.11251728,0.11685679
0.34823996,0.07590733,0.079662815
0.34824997,0.07495262,0.100357816
0.348285,0.10026802,0.103756405
0.34845498,0.13131762,0.13600835
0.34861997,0.10418033,0.11656168
0.34864,0.11707055,0.117814295
0.35002998,0.08304317,0.087234005
0.38584998,0.12999505,0.13081312
0.38596997,0.055475622,0.06502077
0.3871,0.09458428,0.11110341
0.38718504,0.08786837,0.096018836
0.38726,0.10852739,0.12102255
0.38755003,0.11525766,0.11508541
0.38759997,0.09960963,0.1136889
0.387655,0.080788575,0.08069506
0.38767,0.10582757,0.116851
0.38767502,0.13248877,0.13319036
0.38782,0.079852246,0.082799226
0.38784,0.09886721,0.11275313
0.38790002,0.080833025,0.10715501
0.38802502,0.080696,0.08626729
0.38810998,0.112323426,0.121371455
0.38810998,0.10006149,0.10688822
0.38899997,0.10162346,0.103084944
0.41921,0.1547985,0.16714522
0.42650002,0.10154098,0.11797164
0.42650002,0.10821319,0.117097594
0.426815,0.101212785,0.10404635
0.426945,0.0958293,0.09636868
0.42703003,0.09141443,0.10356996
0.42714,0.08487873,0.10432357
0.427145,0.09052933,0.084419616
0.427145,0.103722565,0.10992084
0.42760497,0.114636414,0.123929515
0.427675,0.094115466,0.09549517
0.42772004,0.074081786,0.0700572
0.42780998,0.12145085,0.12818095
0.42795497,0.098449074,0.10530958
0.428,0.11144859,0.11781526
0.42849997,0.11567326,0.11709761
0.42849997,0.12913288,0.14145906
0.467185,0.1164528,0.13802472
0.4672,0.10625662,0.10754585
0.46737,0.09136602,0.0923107
0.46741003,0.14879459,0.14233199
0.46741503,0.12111861,0.1242646
0.46747497,0.10647864,0.11213991
0.46762997,0.12628004,0.13243648
0.46765497,0.09685453,0.096404195
0.46765497,0.09011178,0.11108896
0.46781996,0.113316275,0.12640122
0.46781996,0.14092417,0.13966209
0.46781996,0.12475702,0.12942173
0.46784,0.12802933,0.13505663
0.46791503,0.15973897,0.16609073
0.46795505,0.13419922,0.13813627
0.46799996,0.093885526,0.12084478
0.46802,0.15646577,0.15900686
0.46829504,0.07976789,0.07650107
0.46863502,0.14924732,0.14107299
0.50522,0.1541966,0.15218776
0.50643,0.121721365,0.13407846
0.50656,0.1389701,0.13667542
0.50662,0.12917547,0.13624921
0.507375,0.10853218,0.10983194
0.50754,0.099135175,0.099082835
0.50786,0.12509075,0.13412759
0.507895,0.12445159,0.14767592
0.507925,0.10198392,0.099411756
0.508055,0.11711108,0.12500724
0.50825,0.15885897,0.15182099
0.50831,0.10170827,0.09933739
0.50857,0.09845018,0.10503828
0.5086799,0.15834911,0.14980529
0.50894,0.13657244,0.1458297
0.50940996,0.14459415,0.15600142
0.50948,0.1660447,0.16686216
0.5465,0.12875041,0.13688557
0.54681,0.134709,0.1380668
0.5472,0.09902841,0.092020676
0.54734,0.124734595,0.13516994
0.547385,0.109697,0.11924907
0.5474,0.11950381,0.13907272
0.54748493,0.10417347,0.111464195
0.54766995,0.10529808,0.10586673
0.54767996,0.17755774,0.17523569
0.54785496,0.11917009,0.12816548
0.547955,0.109284185,0.109615594
0.54799503,0.12616283,0.12361717
0.54807,0.10271267,0.124461636
0.54826,0.104894996,0.109346874
0.548325,0.083433785,0.10050868
0.54853004,0.109586574,0.1266213
0.548595,0.1142317,0.11519813
0.54886,0.13046263,0.13135235
0.55344003,0.11106879,0.11614555
0.58611006,0.104802236,0.098282255
0.5868301,0.11631696,0.12747234
0.58690006,0.13620162,0.14377345
0.587015,0.118028395,0.13011923
0.587025,0.11494788,0.12282822
0.58713,0.1366614,0.1405184
0.58732,0.12540697,0.13490108
0.58742,0.15704693,0.15909113
0.58760005,0.1406245,0.16213846
0.58763,0.13574086,0.14789917
