sample,point_load_u1_mean,point_load_u2_mean,ranslation_u1_mean,shear_u1_mean,shear_u2_mean,translation_u1_mean,translation_u2_mean,uniaxial_u1_mean,uniaxial_u2_mean,point_load_u1_std,point_load_u2_std,ranslation_u1_std,shear_u1_std,shear_u2_std,translation_u1_std,translation_u2_std,uniaxial_u1_std,uniaxial_u2_std,point_load_u1_p20,point_load_u2_p20,ranslation_u1_p20,shear_u1_p20,shear_u2_p20,translation_u1_p20,translation_u2_p20,uniaxial_u1_p20,uniaxial_u2_p20
084,-31.72,-31.64,,0.48,-0.19,-1.15,0.0,-0.57,-4.34,7.53,9.09,,2.71,3.17,0.63,0.03,2.82,5.94,84.3,81.59,,0.0,0.29,0.0,0.0,0.22,3.14
085,-41.56,-39.23,,-0.26,0.87,-1.46,0.0,-0.49,-3.13,12.67,8.49,,3.15,3.12,0.74,0.02,2.53,5.77,88.09,87.58,,0.15,0.15,0.0,0.0,0.22,1.9
086,-33.44,-36.12,,0.19,0.73,-1.45,0.0,-0.61,-3.2,26.55,40.97,,3.48,2.8,0.76,0.03,2.25,5.49,82.4,87.22,,0.37,0.22,0.0,0.0,0.0,1.9
087,-44.66,-44.23,,-0.27,-0.29,-1.51,0.0,-1.15,-3.95,10.68,10.18,,3.48,6.9,0.8,0.03,5.53,8.51,98.61,98.53,,0.41,0.33,0.0,0.0,2.04,3.67
088,-27.15,-28.42,,0.32,0.29,-1.33,0.0,-0.56,-4.74,19.49,27.48,,3.74,6.85,0.81,0.03,2.87,9.17,75.67,78.45,,0.49,0.33,0.0,0.0,0.24,4.16
089,-39.26,-40.03,,0.3,0.63,-1.25,0.0,-0.84,-3.46,12.16,9.22,,2.92,2.39,0.63,0.02,3.85,8.43,95.27,97.88,,0.08,0.08,0.0,0.0,1.22,3.59
090,-42.17,-41.61,,-0.13,0.09,-1.3,0.0,-0.25,-3.49,10.87,14.66,,3.26,4.4,0.86,0.03,2.59,6.84,98.86,97.96,,0.41,0.33,0.0,0.0,0.33,3.02
091,-39.63,-38.73,,-0.06,0.71,-1.57,0.0,-0.62,-2.53,10.72,9.3,,3.57,2.57,0.84,0.03,3.0,5.38,91.35,90.27,,0.54,0.0,0.0,0.0,0.31,1.62
092,-43.14,-44.05,,0.42,-0.16,-1.06,0.0,-0.04,-4.39,8.87,10.79,,3.02,4.31,0.6,0.03,2.2,8.62,88.75,87.29,,0.22,0.8,0.0,0.0,0.07,4.24
093,-41.42,-42.48,,0.23,0.84,-1.2,0.0,-0.43,-2.93,21.27,48.3,,2.93,2.76,0.61,0.02,3.0,6.25,91.81,90.12,,0.15,0.08,0.0,0.0,0.46,2.47
094,-34.39,-35.01,,0.59,0.78,-1.26,0.0,-0.43,-2.97,80.2,38.96,,2.92,2.46,0.61,0.02,2.33,5.33,76.04,81.52,,0.15,0.15,0.0,0.0,0.07,1.97
